varieties,mintcream,whitesmoke,ivory,azure,convex_perimeter,convexity,mean_r,mean_s,roughness,std_s,con_1,con_2,con_6
0,0,6.28E-05,0,0,3080.620626,0.934084807,205.1498729,18.05291814,1.070566604,18.46960135,0.174946348,0.001555841,0.000153491
0,0,0.000137278,0,0,2745.438576,0.936759712,211.6830276,16.5649306,1.067509615,18.23885888,0.212436314,0.001808937,0.000123376
0,0,0.000139292,0,0,2536.761026,0.933705306,215.4975099,13.78803539,1.071001732,16.97988059,0.239673693,0.001162788,0.000121124
0,0,0.000152777,0,0,2638.653999,0.855646976,212.3053897,13.73282844,1.168706287,16.85200644,0.229868135,0.000882933,0.000162698
0,0,0.000165417,0,0,2645.956863,0.938735317,213.6452931,13.7133187,1.065263001,15.21020181,0.23316042,0.000425624,0.000213742
0,0,5.84E-05,0,0,2629.316731,0.938773695,212.2494884,14.3520706,1.065219451,15.15672611,0.200589959,0.001063583,0.000193892
0,0,0.000207382,0,0,2694.9882,0.940755608,214.8803372,14.10936461,1.062975327,17.49317512,0.275693621,0.000436033,0.000214472
0,0,0.000134728,0,2.82E-05,2461.814888,0.943854006,191.8628082,16.42335958,1.059485888,11.90554716,0.159908559,0,0
0,0,4.13E-05,0,0,2519.66968,0.929398237,215.4515546,12.23001775,1.075965027,13.71918171,0.258850489,0.001569016,0.000173418
0,0,0,0,6.51E-05,2718.95463,0.932901213,193.8204304,22.5638748,1.071924857,12.56783585,0.136449352,0,0
0,0,2.69E-05,0,1.66E-05,2573.4017,0.908989007,193.9778644,19.63117337,1.100123316,11.61917287,0.117370503,0,0
0,0,9.44E-05,0,0,2758.831296,0.939264308,210.5767905,16.9233476,1.064663046,18.96563065,0.209760408,0.001614439,0.00018186
0,0,1.06E-05,0,1.06E-05,2471.948932,0.946197681,194.8683478,20.15882622,1.056861605,10.53575435,0.141756943,0,0
0,0,8.64E-05,1.66E-06,0,2785.668711,0.944244973,209.3775275,18.15242172,1.059047205,20.89878587,0.209051842,0.001170339,0.000284273
0,0,0,0,0,2060.796792,0.581644512,73.21506614,123.51836,1.71926319,22.77269611,0,0,0
0,0,6.23E-05,0,0,2553.964678,0.93636878,213.3163532,14.40364744,1.067955298,15.33334355,0.228436126,0.001940854,0.000180825
0,0,1.24E-05,0,6.22E-06,2496.414756,0.942199127,196.0522236,20.5613455,1.06134677,11.63097974,0.135047845,0,0
0,0,2.18E-05,0,0,2682.183226,0.924286864,214.491676,14.76144684,1.081915192,18.22294201,0.236237108,0.001090867,0.000156097
0,0,0.000125648,0,3.28E-05,2670.52531,0.928186679,191.817386,20.56463499,1.077369481,12.52269422,0.135765442,0,0
0,0,0.000408173,0,0,2539.296645,0.911671717,205.3161027,15.16984473,1.096886062,13.17542623,0.262477713,2.03E-06,2.03E-06
0,0,0.000843631,0,0,2676.750102,0.936196022,212.5158218,11.21000913,1.06815237,12.79739246,0.232697309,9.17E-05,0.000137549
0,0,0.000152878,0,0,2459.023842,0.943326588,203.0271907,15.89164858,1.060078251,10.2642716,0.243042995,6.46E-06,2.15E-06
0,0,0.000658229,0,0,2595.334146,0.93829443,205.0442261,12.59529836,1.065763547,9.340404992,0.194524991,1.54E-05,3.65E-05
0,0,4.99E-05,0,0,2445.355457,0.935257696,211.24602,15.69623341,1.069224027,16.85726248,0.171418722,0.001992459,0.000158269
0,0,5.68E-05,0,0,2506.050784,0.930460895,211.5235284,16.96085587,1.074736193,16.59832895,0.222365639,0.001046144,8.08E-05
0,0,1.50E-05,0,0,2782.067935,0.938549533,211.8253463,15.57507221,1.065473866,15.51611108,0.191786569,0.002060963,0.000142078
0,0,0,0,0.000151046,2597.493865,0.939609782,192.1812366,24.98517642,1.064271593,14.52007374,0.129219262,0,0
0,1.77E-06,1.06E-05,0,4.61E-05,2709.2738,0.938431105,193.4358767,23.95576329,1.065608327,12.860017,0.116999677,0,0
0,0,2.05E-05,0,0,2757.987776,0.938859648,209.8344561,15.49170891,1.06512193,17.07114704,0.204872037,0.001738674,0.000136367
0,0,6.43E-06,0,0.00023587,2452.205622,0.944549303,191.0085063,23.95882786,1.058705985,12.63174267,0.108735974,0,0
